T_eV,sigma_pwba,corr_stage1_mc,corr_stage2_rel_long,corr_stage3_rel_trans,corr_stage4_density,sigma_corrected,use_mc,use_rel_long,use_rel_trans,use_density_effect
419.9972946715306,1.2786189192902613e-20,-1.920990186047481e-21,0.0,0.0,0.0,1.0865199006855132e-20,1,0,0,0
429.8001206490799,1.258619643555821e-20,-1.8603367935890337e-21,0.0,0.0,0.0,1.0725859641969177e-20,1,0,0,0
439.83174666502237,1.2377149269234794e-20,-1.7993881416859564e-21,0.0,0.0,0.0,1.0577761127548838e-20,1,0,0,0
450.09751296080464,1.2177075536079034e-20,-1.7413964707111952e-21,0.0,0.0,0.0,1.0435679065367838e-20,1,0,0,0
460.60288442023983,1.193014014687394e-20,-1.6836253441185007e-21,0.0,0.0,0.0,1.024651480275544e-20,1,0,0,0
471.3534534786907,1.1750692029795583e-20,-1.6305569968627707e-21,0.0,0.0,0.0,1.0120135032932813e-20,1,0,0,0
482.3549431001467,1.1567840243129388e-20,-1.5776556174142127e-21,0.0,0.0,0.0,9.990184625715175e-21,1,0,0,0
493.6132098237917,1.1402519685986476e-20,-1.5281146486021599e-21,0.0,0.0,0.0,9.874405037384316e-21,1,0,0,0
505.13424688167663,1.1209421138371848e-20,-1.4772390649026164e-21,0.0,0.0,0.0,9.732182073469232e-21,1,0,0,0
516.9241873891599,1.102044375933972e-20,-1.4275211408449459e-21,0.0,0.0,0.0,9.592922618494774e-21,1,0,0,0
528.9893076098151,1.0853749179524414e-20,-1.380995970037276e-21,0.0,0.0,0.0,9.472753209487138e-21,1,0,0,0
541.3360302965376,1.0680759863584915e-20,-1.3355635432524854e-21,0.0,0.0,0.0,9.34519632033243e-21,1,0,0,0
553.97092811064,1.051272022303273e-20,-1.2912885856149224e-21,0.0,0.0,0.0,9.221431637417808e-21,1,0,0,0
566.9007271207433,1.035832345511953e-20,-1.2491027583281372e-21,0.0,0.0,0.0,9.109220696791393e-21,1,0,0,0
580.1323103833379,1.0182080776037487e-20,-1.2065213329730587e-21,0.0,0.0,0.0,8.975559443064428e-21,1,0,0,0
593.6727216069127,1.0001874695891439e-20,-1.1644072985218914e-21,0.0,0.0,0.0,8.837467397369547e-21,1,0,0,0
607.5291689016077,9.854161539512273e-21,-1.125849284652631e-21,0.0,0.0,0.0,8.728312254859642e-21,1,0,0,0
621.7090286163827,9.666515839092873e-21,-1.0852095098578223e-21,0.0,0.0,0.0,8.581306329235051e-21,1,0,0,0
636.2198492657488,9.526022354348936e-21,-1.0492777391668983e-21,0.0,0.0,0.0,8.476744615182038e-21,1,0,0,0
651.0693555481455,9.35586626098392e-21,-1.0120414549960563e-21,0.0,0.0,0.0,8.343824805987863e-21,1,0,0,0
666.265452458115,9.231703731335222e-21,-9.792118997705695e-22,0.0,0.0,0.0,8.252491831564652e-21,1,0,0,0
681.816229494448,9.046852757240836e-21,-9.42999697327105e-22,0.0,0.0,0.0,8.10385305991373e-21,1,0,0,0
697.7299649665538,8.900457906138469e-21,-9.104690638874277e-22,0.0,0.0,0.0,7.989988842251041e-21,1,0,0,0
714.0151304013403,8.782177973712798e-21,-8.806619547135316e-22,0.0,0.0,0.0,7.901516018999266e-21,1,0,0,0
730.68039505295,8.605073360691283e-21,-8.4777615391593e-22,0.0,0.0,0.0,7.757297206775353e-21,1,0,0,0
747.7346305177588,8.476977466375449e-21,-8.188632656628716e-22,0.0,0.0,0.0,7.658114200712577e-21,1,0,0,0
765.1869154570818,8.353058877240367e-21,-7.909346737517026e-22,0.0,0.0,0.0,7.562124203488664e-21,1,0,0,0
783.0465404301183,8.193621741421784e-21,-7.615955533091925e-22,0.0,0.0,0.0,7.432026188112591e-21,1,0,0,0
801.3230128396887,8.067914503549619e-21,-7.351289230163856e-22,0.0,0.0,0.0,7.332785580533233e-21,1,0,0,0
820.0260619934131,7.912978323071352e-21,-7.079406814470802e-22,0.0,0.0,0.0,7.205037641624272e-21,1,0,0,0
839.1656442830161,7.771587185213244e-21,-6.819180781509403e-22,0.0,0.0,0.0,7.089669107062304e-21,1,0,0,0
858.751948484517,7.647368368344553e-21,-6.579539184551357e-22,0.0,0.0,0.0,6.989414449889417e-21,1,0,0,0
878.795401182132,7.537001206375636e-21,-6.353309522427239e-22,0.0,0.0,0.0,6.901670254132912e-21,1,0,0,0
899.3066723187613,7.26558356869343e-21,-6.092795570959546e-22,0.0,0.0,0.0,6.656304011597475e-21,1,0,0,0
920.296680876041,7.144770503695323e-21,-5.87409864566164e-22,0.0,0.0,0.0,6.557360639129159e-21,1,0,0,0
941.7766006869518,7.040499622888403e-21,-5.67109033678959e-22,0.0,0.0,0.0,6.473390589209444e-21,1,0,0,0
963.7578663841089,6.918332079317327e-21,-5.465680762468669e-22,0.0,0.0,0.0,6.37176400307046e-21,1,0,0,0
986.2521794868784,6.808336619276787e-21,-5.270689380611587e-22,0.0,0.0,0.0,6.281267681215629e-21,1,0,0,0
1009.2715146305708,6.655900306113325e-21,-4.861878525201325e-22,6.675625845031802e-21,0.0,0.0,6.1697124535931925e-21,1,1,0,0
1032.8281259410285,6.502167330489336e-21,-4.659026396062646e-22,6.521887179246354e-21,0.0,0.0,6.0362646908830716e-21,1,1,0,0
1056.9345535579885,6.394830928939811e-21,-4.481486400341771e-22,6.414678069777262e-21,0.0,0.0,5.946682288905634e-21,1,1,0,0
1081.6036303107094,6.294217473822672e-21,-4.312789345438247e-22,6.3142084570456076e-21,0.0,0.0,5.862938539278847e-21,1,1,0,0
1106.848488549412,6.190263059678554e-21,-4.1492160908862775e-22,6.210382927458986e-21,0.0,0.0,5.775341450589926e-21,1,1,0,0
1132.6825671361537,6.070949924252095e-21,-3.981348170235458e-22,6.0911427156333285e-21,0.0,0.0,5.672815107228549e-21,1,1,0,0
1159.1196185988856,5.986804327983266e-21,-3.834746436667689e-22,6.007182186686936e-21,0.0,0.0,5.603329684316497e-21,1,1,0,0
1186.173716452478,5.843744180510954e-21,-3.669262589838305e-22,5.8640995289272795e-21,0.0,0.0,5.4768179215271235e-21,1,1,0,0
1213.8592626906277,5.749129073994865e-21,-3.527047770934936e-22,5.769622442741325e-21,0.0,0.0,5.3964242969013716e-21,1,1,0,0
1242.1909954526175,5.65951378598918e-21,-3.3910143214985696e-22,5.6801587656744675e-21,0.0,0.0,5.320412353839323e-21,1,1,0,0
1271.1839968690288,5.562540188106299e-21,-3.2577733223417567e-22,5.583305221538681e-21,0.0,0.0,5.2367628558721235e-21,1,1,0,0
1300.8537010905707,5.458965489150513e-21,-3.1242823750462246e-22,5.479819714016767e-21,0.0,0.0,5.14653725164589e-21,1,1,0,0
1331.2159025043077,5.363876345894083e-21,-2.997929560212631e-22,5.384845783758492e-21,0.0,0.0,5.06408338987282e-21,1,1,0,0
