pair,r_angstrom,single_configuration_g,epsr_mean_g
OH,4.1850000000000005,0.9366775751911102,0.9232762832400002
OH,4.215,0.9456995864142385,0.9300813430618979
OH,4.244999999999999,0.9363075602755607,0.9384593464899998
OH,4.275,0.9634869382269969,0.9471972360366668
OH,4.305,0.9355941358258264,0.9571164752399999
OH,4.335,1.0002708427270206,0.9696659613866665
OH,4.365,0.9672533667533534,0.9828934602246592
OH,4.395,0.9980611112228989,0.9975615999999997
OH,4.425,1.0467424082510322,1.0116304999999999
OH,4.455,1.0376846844111087,1.025588
OH,4.484999999999999,1.0210343895505858,1.040555
OH,4.515000000000001,1.024175504859841,1.0536607870404322
OH,4.545,1.0853887023879398,1.0657171221666666
OH,4.574999999999999,1.0427977661370869,1.077450095633333
OH,4.605,1.1000080762458353,1.0891696230666668
OH,4.635,1.0904266985245674,1.1003219501683277
OH,4.664999999999999,1.092057170221188,1.111331765133333
OH,4.695,1.1269481147674523,1.1225322414666667
OH,4.725,1.125363290193545,1.1337872578666666
OH,4.755,1.1888360143115468,1.1451782233333334
OH,4.785,1.1418289766098153,1.1566520585313822
OH,4.8149999999999995,1.1551187027621865,1.1684167767999998
OH,4.845,1.1890974059676356,1.1778378391
OH,4.875,1.2281107185574374,1.1850982088
OH,4.904999999999999,1.207250657522465,1.1928137480999998
OH,4.9350000000000005,1.1844807299297466,1.1986515151494952
OH,4.965,1.1977714265419568,1.2023590654666667
OH,4.994999999999999,1.18910021910672,1.2044243838666666
OH,5.025,1.1951247756051613,1.2046400586666668
OH,5.055,1.2042465662399442,1.2019196669333334
OH,5.084999999999999,1.2130705329712101,1.1972141613279559
OH,5.115,1.187521482840116,1.1924173641666667
OH,5.145,1.1737132499968168,1.1866245668333333
OH,5.175,1.1775862701028712,1.1797377288333333
OH,5.205,1.1441972939410294,1.171773568547715
OH,5.234999999999999,1.1900011624345868,1.1627414018000002
OH,5.265,1.152479222506498,1.1536122498
OH,5.295,1.1561172019716053,1.1438976362
OH,5.324999999999999,1.1401321652304497,1.1330482036000002
OH,5.355,1.0972834980674542,1.122615133662211
OH,5.385,1.1031520390689646,1.1110096185
OH,5.414999999999999,1.1310289654765755,1.0985636894000002
OH,5.445,1.0832709591235927,1.085031126233333
OH,5.475,1.0549048926135451,1.0698784449333334
OH,5.505,1.0709958913280428,1.0556274343855205
OH,5.535,1.0709682340993962,1.0410166293333332
OH,5.5649999999999995,1.0137470983884311,1.0260263653333337
OH,5.595,1.042243460691473,1.0115273674666667
OH,5.625,1.0168404734105483,0.9979725614933332
OH,5.654999999999999,0.9697853338005757,0.9850851313756211
OH,5.6850000000000005,0.9841030957361138,0.9712909258799998
OH,5.715,0.9815992345480575,0.9593269516199999
OH,5.744999999999999,0.9555064103348476,0.9498082096300002
OH,5.775,0.9354188296092829,0.93956753503
OH,5.805,0.9030930844378087,0.9306291426852439
OH,5.834999999999999,0.9291681645968417,0.9225129532333336
OH,5.865,0.9258593350517483,0.9143536857666666
OH,5.895,0.8891696919074442,0.9075031811666668
OH,5.925,0.8741402383662081,0.9005427297156762
OH,5.955,0.880123495833936,0.8935162524633333
OH,5.984999999999999,0.8768545398861294,0.8879732117433334
OH,6.015,0.8966891630341192,0.88366724599
OH,6.045,0.8800640824166919,0.8802607016333334
OH,6.074999999999999,0.8441625217178849,0.8773998509283025
OH,6.105,0.8799404753113542,0.8741369549999999
OH,6.135,0.8657146984572973,0.87069544832
OH,6.164999999999999,0.8744410663005431,0.86918316016
OH,6.195,0.8825893851572378,0.86869588036
OH,6.225,0.8434199165867874,0.8680687653378221
OH,6.255,0.8566939677713101,0.8680281755
OH,6.285,0.8703934168531549,0.86814532258
OH,6.3149999999999995,0.8703068679558436,0.8687785286466667
OH,6.345,0.871589392839175,0.8704679563833333
OH,6.375,0.8905719655493387,0.8720582092063598
OH,6.404999999999999,0.8684476110825953,0.8741280146066666
OH,6.4350000000000005,0.9044642847363984,0.8783003408266667
OH,6.465,0.8767861564562464,0.8827559507533334
OH,6.494999999999999,0.882462251613488,0.8877149263624545
OH,6.525,0.8703768205571167,0.8931887439
OH,6.555,0.9006412447980777,0.8991576864999999
OH,6.584999999999999,0.8921272259461654,0.9059939270499998
OH,6.615,0.8950518389050545,0.9138273887
OH,6.645,0.932187264682046,0.9218561092796906
OH,6.675,0.9689381141954514,0.9297577856266667
OH,6.705,0.9476930116971399,0.9381364770933333
OH,6.734999999999999,0.9464462690568527,0.9472540966133332
OH,6.765,0.9553908247555151,0.95574250064
OH,6.795,0.9966365573161159,0.9629524870037666
OH,6.824999999999999,0.9651036419781573,0.9711726672099998
OH,6.855,0.9928212476693159,0.9801035114433335
OH,6.885,1.025693578402743,0.9887314603266666
OH,6.914999999999999,0.9895797461708625,0.9969438327399998
OH,6.945,1.0274161940369073,1.0048034291523618
OH,6.975,1.0052137713196727,1.0117928154
OH,7.004999999999999,1.0173912262990743,1.0189935421999996
OH,7.035,1.0287528410239815,1.0257258812
OH,7.0649999999999995,1.0359150883585064,1.0313657489417019
OH,7.095,1.0209871442613592,1.0367869866
OH,7.125,1.0447509760585942,1.0408234017666667
OH,7.154999999999999,1.0346258908836605,1.0444679812333333
OH,7.185,1.0419068472850106,1.0469284046666667
OH,7.215,1.049846915262642,1.0490438589713675
OH,7.244999999999999,1.041979534385988,1.0508747573333332
OH,7.275,1.053996807826082,1.051317652
OH,7.305,1.0557023604230074,1.0517263033333333
OH,7.334999999999999,1.0612911031952903,1.0508214053333333
OH,7.365,1.0584036159786105,1.049531820472651
OH,7.395,1.0557867916114478,1.0490768087
OH,7.425,1.0257056511874678,1.0486103444000001
OH,7.455,1.0508308481364783,1.0472485638
OH,7.484999999999999,1.0578357536444805,1.0454115073
OH,7.515,1.0160724341559881,1.04371889530349
OH,7.545,1.0224298423157867,1.0418528089999999
OH,7.574999999999999,1.042962294780435,1.0396374411333333
OH,7.605,1.026918436708529,1.037308474
OH,7.635,1.0470311008114668,1.0353469347021766
OH,7.664999999999999,1.0236731911485017,1.032711576
OH,7.695,1.0400896059563867,1.0298832595
OH,7.725,1.0263343032987602,1.0268454003
OH,7.754999999999999,1.0313538610059543,1.0234433153333333
OH,7.785,1.0024008205366028,1.0200015274824172
OH,7.8149999999999995,1.0283250186936872,1.0174804384
OH,7.845,1.012195529621326,1.014918664
OH,7.875,1.0063242079386814,1.0120658975999999
OH,7.904999999999999,1.0184073012088992,1.0106823152
OH,7.935,1.024883931475331,1.0097432014932834
OH,7.965,1.0303418171342467,1.0089381258333332
OH,7.994999999999999,0.6871377386088694,1.0085085873862463
HH,0.015,0.0,0.0
HH,0.045,0.0,0.0
HH,0.075,0.0,0.0
HH,0.105,0.0,0.0
HH,0.135,0.0,0.0
HH,0.16499999999999998,0.0,0.0
HH,0.195,0.0,0.0
HH,0.22499999999999998,0.0,0.0
HH,0.255,0.0,0.0
HH,0.28500000000000003,0.0,0.0
HH,0.31499999999999995,0.0,0.0
HH,0.345,0.0,0.0
HH,0.375,0.0,0.0
HH,0.405,0.0,0.0
HH,0.43499999999999994,0.0,0.0
HH,0.46499999999999997,0.0,0.0
HH,0.495,0.0,0.0
HH,0.525,0.0,0.0
HH,0.5549999999999999,0.0,0.0
HH,0.585,0.0,0.0
HH,0.615,0.0,0.0
HH,0.645,0.0,0.0
HH,0.6749999999999999,0.0,0.0
HH,0.705,0.0,0.0
HH,0.735,0.0,0.0
HH,0.765,0.0,0.0
HH,0.7949999999999999,0.0,0.0
HH,0.825,0.0,0.0
HH,0.855,0.0,0.0
HH,0.885,0.0,0.0
HH,0.9149999999999999,0.0,0.0
HH,0.945,0.0,0.0
HH,0.975,0.0,0.0
HH,1.005,0.0,0.0
HH,1.0350000000000001,0.0,0.0
HH,1.065,0.0,0.0
