projectile,target,projectile_energy_ev,area_quantile,theta_cm_rad
H,H,1100.6941712522091,0.005859375,1.4709475842365634
H,H,1100.6941712522091,0.00634765625,1.4311575426150183
H,H,1100.6941712522091,0.0068359375,1.3945064111070429
H,H,1100.6941712522091,0.0078125,1.329077962880939
H,H,1100.6941712522091,0.0087890625,1.2721947791063311
H,H,1100.6941712522091,0.009765625,1.2221124291579013
H,H,1100.6941712522091,0.0107421875,1.1775544042809409
H,H,1100.6941712522091,0.01171875,1.1375602914836569
H,H,1100.6941712522091,0.0126953125,1.1013907261462519
H,H,1100.6941712522091,0.013671875,1.0684654074739535
H,H,1100.6941712522091,0.0146484375,1.0383212853589745
H,H,1100.6941712522091,0.015625,1.0105835384612054
H,H,1100.6941712522091,0.017578125,0.96115082478638625
H,H,1100.6941712522091,0.01953125,0.91827665035818917
H,H,1100.6941712522091,0.021484375,0.88061674114085164
H,H,1100.6941712522091,0.0234375,0.84718490262164137
H,H,1100.6941712522091,0.025390625,0.81723866090626185
H,H,1100.6941712522091,0.02734375,0.79020670896715428
H,H,1100.6941712522091,0.029296875,0.76564117872673609
H,H,1100.6941712522091,0.03125,0.74318526521052952
H,H,1100.6941712522091,0.033203125,0.72255067836696574
H,H,1100.6941712522091,0.03515625,0.70350157489214959
H,H,1100.6941712522091,0.0390625,0.66941161563193319
H,H,1100.6941712522091,0.04296875,0.63970266638411566
H,H,1100.6941712522091,0.046875,0.61350157815126805
H,H,1100.6941712522091,0.05078125,0.59016142237213698
H,H,1100.6941712522091,0.0546875,0.56919123652485215
H,H,1100.6941712522091,0.05859375,0.55021073825917721
H,H,1100.6941712522091,0.0625,0.53292014971120771
H,H,1100.6941712522091,0.06640625,0.51707951051428802
H,H,1100.6941712522091,0.0703125,0.50249414163250394
H,H,1100.6941712522091,0.078125,0.47647708374424091
H,H,1100.6941712522091,0.0859375,0.45388405681954413
H,H,1100.6941712522091,0.09375,0.43401389019489001
H,H,1100.6941712522091,0.1015625,0.41635192663873788
H,H,1100.6941712522091,0.109375,0.40051065776801442
H,H,1100.6941712522091,0.1171875,0.38619194344024699
H,H,1100.6941712522091,0.125,0.37316211148016043
H,H,1100.6941712522091,0.1328125,0.3612350488347511
H,H,1100.6941712522091,0.140625,0.35026041872668356
H,H,1100.6941712522091,0.1484375,0.34011526245818713
H,H,1100.6941712522091,0.15625,0.33069789327881116
H,H,1100.6941712522091,0.171875,0.31372013797100662
H,H,1100.6941712522091,0.1875,0.29879300074133353
H,H,1100.6941712522091,0.203125,0.28552609374411642
H,H,1100.6941712522091,0.21875,0.27362647940520191
H,H,1100.6941712522091,0.234375,0.26286939391838349
H,H,1100.6941712522091,0.25,0.25307906078699105
H,H,1100.6941712522091,0.265625,0.24411572433569706
H,H,1100.6941712522091,0.28125,0.23586665095333714
H,H,1100.6941712522091,0.296875,0.22823973786177776
H,H,1100.6941712522091,0.3125,0.2211588802724509
H,H,1100.6941712522091,0.34375,0.20839124048819224
H,H,1100.6941712522091,0.375,0.1971644212160033
H,H,1100.6941712522091,0.40625,0.18718669428238455
H,H,1100.6941712522091,0.4375,0.17823913880276177
H,H,1100.6941712522091,0.46875,0.17015371396073942
H,H,1100.6941712522091,0.5,0.16279891629585874
H,H,1100.6941712522091,0.53125,0.15607010050900261
H,H,1100.6941712522091,0.5625,0.14988276913818099
H,H,1100.6941712522091,0.625,0.13886804602319325
H,H,1100.6941712522091,0.6875,0.12933042790873994
H,H,1100.6941712522091,0.75,0.12096896707664317
H,H,1100.6941712522091,0.8125,0.11356318238563601
H,H,1100.6941712522091,0.875,0.10694714931233129
H,H,1100.6941712522091,0.9375,0.10099314738926335
H,H,1100.6941712522091,1,0.095600950891555847
