cell_id,lat_deg,lon_w_deg,hemisphere,e_min_mev,e_max_mev,is_valid,n_assigned_bins
423,3,42,leading,21.5576013,100,1,235
424,3,54,leading,21.4585036,100,1,236
425,3,66,leading,21.4585036,100,1,236
426,3,78,leading,21.4585036,100,1,236
427,3,90,leading,21.4585036,100,1,236
428,3,102,leading,21.4585036,100,1,236
429,3,114,leading,21.4585036,100,1,236
430,3,126,leading,21.4585036,100,1,236
431,3,138,leading,21.5576013,100,1,235
432,3,150,leading,21.6555122,100,1,235
433,3,162,leading,21.8626201,100,1,233
434,3,174,leading,22.8890486,100,1,226
435,3,186,trailing,0.01,18.9512918,1,1157
436,3,198,trailing,0.01,20.5900228,1,1169
437,3,210,trailing,0.01,20.7806357,1,1171
438,3,222,trailing,0.01,20.8766029,1,1172
439,3,234,trailing,0.01,20.9730132,1,1172
440,3,246,trailing,0.01,20.9730132,1,1172
441,3,258,trailing,0.01,20.9730132,1,1172
442,3,270,trailing,0.01,20.9730132,1,1172
443,3,282,trailing,0.01,20.9730132,1,1172
444,3,294,trailing,0.01,20.9730132,1,1172
445,3,306,trailing,0.01,20.9730132,1,1172
446,3,318,trailing,0.01,20.8766029,1,1172
447,3,330,trailing,0.01,20.7806357,1,1171
448,3,342,trailing,0.01,20.5900228,1,1169
449,3,354,trailing,0.01,18.9512918,1,1157
450,-3,6,leading,22.8890486,100,1,226
451,-3,18,leading,21.8626201,100,1,233
452,-3,30,leading,21.6555122,100,1,235
453,-3,42,leading,21.5576013,100,1,235
454,-3,54,leading,21.4585036,100,1,236
455,-3,66,leading,21.4585036,100,1,236
456,-3,78,leading,21.4585036,100,1,236
457,-3,90,leading,21.4585036,100,1,236
458,-3,102,leading,21.4585036,100,1,236
459,-3,114,leading,21.4585036,100,1,236
460,-3,126,leading,21.4585036,100,1,236
461,-3,138,leading,21.5576013,100,1,235
462,-3,150,leading,21.6555122,100,1,235
463,-3,162,leading,21.8626201,100,1,233
464,-3,174,leading,22.8890486,100,1,226
465,-3,186,trailing,0.01,18.9512918,1,1157
466,-3,198,trailing,0.01,20.5900228,1,1169
467,-3,210,trailing,0.01,20.7806357,1,1171
468,-3,222,trailing,0.01,20.8766029,1,1172
469,-3,234,trailing,0.01,20.9730132,1,1172
470,-3,246,trailing,0.01,20.9730132,1,1172
471,-3,258,trailing,0.01,20.9730132,1,1172
472,-3,270,trailing,0.01,20.9730132,1,1172
473,-3,282,trailing,0.01,20.9730132,1,1172
